"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",17.8,25.6,9.9,1.48,11.3
"Feb",20.8,29.4,12.2,1.29,11.3
"Mar",31.6,40.9,22.4,1.92,5.8
"Apr",44,54.4,33.7,3.07,2.6
"May",56.4,67.4,45.4,3.78,0.1
"Jun",66.6,77.3,55.9,4.74,0
"Jul",71,81.6,60.5,3.91,0
"Aug",69.2,79.6,58.8,3.6,0
"Sep",61.6,72.5,50.7,3.31,0
"Oct",48.9,58.6,39.3,2.98,0.6
"Nov",36,43.9,28.1,2.1,1.9
"Dec",24.4,31.3,17.4,1.67,9.9
