"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",17.7,25.6,9.8,1.36,12.2
"Feb",20.7,29.3,12.2,1.04,9.7
"Mar",31.3,40.5,22.1,1.87,5.6
"Apr",43.6,54,33.2,3.01,2.7
"May",56.1,67.5,44.8,3.91,0
"Jun",66.4,77.1,55.6,4.52,0
"Jul",70.4,81.5,59.2,3.72,0
"Aug",67.8,79.2,56.3,3.28,0
"Sep",60.5,72,49,3.13,0
"Oct",48.2,58.2,38.1,2.81,0.3
"Nov",35.6,43.6,27.7,2.02,2.2
"Dec",24.3,31.2,17.3,1.55,10.5
