"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",19.1,27.1,11.2,1.43,
"Feb",22,30.7,13.4,1.32,
"Mar",31.6,39.8,23.4,1.99,
"Apr",42.5,51.6,33.4,3.57,
"May",53.4,63.2,43.6,3.71,
"Jun",63.7,74,53.5,3.86,
"Jul",69.5,79.5,59.5,3.52,
"Aug",68.2,78,58.5,3.26,
"Sep",60.8,71.4,50.3,2.75,
"Oct",48.9,58.4,39.3,2.7,
"Nov",36.2,44.3,28.1,1.96,
"Dec",25.2,32.6,17.9,1.81,
