"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.54,
"Feb",,,,1.57,
"Mar",,,,2.43,
"Apr",,,,3.64,
"May",,,,3.79,
"Jun",,,,4.55,
"Jul",,,,3.77,
"Aug",,,,3.97,
"Sep",,,,3.25,
"Oct",,,,2.85,
"Nov",,,,2.09,
"Dec",,,,2.07,
