"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.59,
"Feb",,,,1.4,
"Mar",,,,1.79,
"Apr",,,,3.78,
"May",,,,3.77,
"Jun",,,,4.23,
"Jul",,,,3.71,
"Aug",,,,3.57,
"Sep",,,,2.7,
"Oct",,,,3.05,
"Nov",,,,2.06,
"Dec",,,,2.06,
