"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.63,
"Feb",,,,1.51,
"Mar",,,,2.08,
"Apr",,,,3.67,
"May",,,,3.46,
"Jun",,,,4.33,
"Jul",,,,3.57,
"Aug",,,,3.99,
"Sep",,,,2.94,
"Oct",,,,2.87,
"Nov",,,,2.03,
"Dec",,,,1.85,
