"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",19.4,26.8,12,1.72,11.2
"Feb",22.4,30.4,14.4,1.84,14.2
"Mar",32.3,40.7,23.9,2.09,6.6
"Apr",43.7,53.1,34.3,3.78,2.2
"May",55.3,65.5,45.1,3.98,0
"Jun",65.2,75.3,55,4.28,0
"Jul",70.5,80.4,60.6,3.61,0
"Aug",69,78.3,59.7,3.47,0
"Sep",61.5,71,52.1,2.73,0
"Oct",49.2,58.1,40.2,2.85,0
"Nov",36.7,44.4,28.9,2.08,1.4
"Dec",25.7,32.5,18.8,2.14,13
