"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.46,
"Feb",,,,1.46,
"Mar",,,,1.85,
"Apr",,,,3.75,
"May",,,,3.81,
"Jun",,,,4.23,
"Jul",,,,3.76,
"Aug",,,,3.65,
"Sep",,,,2.85,
"Oct",,,,2.84,
"Nov",,,,2.01,
"Dec",,,,1.94,
