"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.82,
"Feb",,,,1.43,
"Mar",,,,1.92,
"Apr",,,,3.15,
"May",,,,3.52,
"Jun",,,,4.17,
"Jul",,,,3.49,
"Aug",,,,3.39,
"Sep",,,,3.01,
"Oct",,,,2.82,
"Nov",,,,1.98,
"Dec",,,,1.93,
