"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.46,
"Feb",,,,1.43,
"Mar",,,,2.06,
"Apr",,,,3.76,
"May",,,,3.79,
"Jun",,,,4.25,
"Jul",,,,3.79,
"Aug",,,,3.53,
"Sep",,,,3.09,
"Oct",,,,2.91,
"Nov",,,,2.03,
"Dec",,,,1.77,
