"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",22.7,30.8,14.6,1.76,13.2
"Feb",24.6,33.5,15.7,1.48,10.7
"Mar",33.7,41.9,25.4,1.91,6
"Apr",43.2,51,35.4,3.78,0.8
"May",53,61.3,44.8,3.9,0
"Jun",63.2,71.5,54.8,4.17,0
"Jul",70.1,78.7,61.5,3.61,0
"Aug",70,78.4,61.6,3.68,0
"Sep",62.5,71.3,53.7,3.08,0
"Oct",50.4,59.2,41.6,2.56,0
"Nov",38.5,46.4,30.6,2.13,0.9
"Dec",28.2,35.8,20.5,1.82,10.7
