"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",,,,1.67,
"Feb",,,,1.53,
"Mar",,,,2.05,
"Apr",,,,3.59,
"May",,,,3.7,
"Jun",,,,4.25,
"Jul",,,,3.53,
"Aug",,,,3.41,
"Sep",,,,2.67,
"Oct",,,,3.04,
"Nov",,,,2.03,
"Dec",,,,2.07,
