"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",19.9,26.5,13.4,1.78,7.8
"Feb",22.6,29.4,15.8,1.24,10
"Mar",31.6,38.5,24.6,1.75,3.2
"Apr",42.2,50,34.4,3.29,1.4
"May",52.8,61.5,44.2,3.44,0
"Jun",63,71.6,54.3,4.05,0
"Jul",68.6,76.9,60.3,3.5,0
"Aug",68,75.7,60.3,3.44,0
"Sep",60.8,68.6,53.1,2.42,0
"Oct",49,56,42,2.91,0.2
"Nov",36.7,43,30.4,1.98,0.9
"Dec",25.8,31.8,19.8,1.65,11.1
