"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",23.5,30,17,1.58,
"Feb",25.8,33.1,18.5,1.73,
"Mar",34.5,42.7,26.4,2.07,
"Apr",45.2,54.1,36.2,3.94,
"May",55.9,65.7,46.2,3.99,
"Jun",65.7,75.5,56,4.5,
"Jul",71.5,81.1,62,3.61,
"Aug",70.2,79.8,60.7,3.77,
"Sep",63.2,72.5,53.9,3.18,
"Oct",51.5,60.5,42.6,2.98,
"Nov",38.8,46.4,31.2,2.15,
"Dec",28.3,35.2,21.4,2.01,
