"Month","Average temperature (F)","Average maximum temperature (F)","Average minimum temperature (F)","Precipitation (in)","Snowfall (in)"
"Jan",19.4,26.9,11.8,1.1,
"Feb",22.1,30,14.2,0.96,
"Mar",32.1,40.5,23.8,1.65,
"Apr",43,52.5,33.6,3.3,
"May",54.2,64.8,43.6,3.35,
"Jun",64.5,75.4,53.6,3.77,
"Jul",69.3,80.2,58.3,3.42,
"Aug",67.7,78.2,57.2,3.06,
"Sep",60.4,71.3,49.5,2.7,
"Oct",48.5,58.1,38.9,2.76,
"Nov",36.3,44.3,28.3,1.96,
"Dec",25.5,32.5,18.4,1.38,
