ObjectID,STD_ZIP5,LATITUDE,LONGITUDE,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,x,y
27936,95404,38.447389323,-122.6966967,SANTA ROSA,CA,-122.6966967,38.447389323
27937,95405,38.438741966,-122.6725364,SANTA ROSA,CA,-122.6725364,38.4387419660001
27938,95407,38.411607199,-122.7327164,SANTA ROSA,CA,-122.7327164,38.4116071990001
27939,95409,38.459044758,-122.6419112,SANTA ROSA,CA,-122.6419112,38.4590447580001
27940,95410,39.206840496,-123.7268597,ALBION,CA,-123.7268597,39.206840496
27941,95412,38.704225443,-123.331488,ANNAPOLIS,CA,-123.331488,38.704225443
27942,95415,39.0188658,-123.4001154,BOONVILLE,CA,-123.4001154,39.0188658000001
27943,95417,39.707604973,-123.6622691,BRANSCOMB,CA,-123.6622691,39.7076049730001
27944,95420,39.368482495,-123.8106125,CASPAR,CA,-123.8106125,39.3684824950001
27945,95421,38.515037081,-123.1243593,CAZADERO,CA,-123.1243593,38.5150370810001
27946,95422,38.955106784,-122.635644,CLEARLAKE,CA,-122.635644,38.9551067840001
27947,95423,39.050867935,-122.6193685,CLEARLAKE OAKS,CA,-122.6193685,39.050867935
27948,95425,38.79808582,-123.0156452,CLOVERDALE,CA,-123.0156452,38.79808582
27949,95428,39.808870537,-123.2247544,COVELO,CA,-123.2247544,39.8088705370001
27950,95429,39.723524304,-123.3204228,DOS RIOS,CA,-123.3204228,39.7235243040001
27951,95432,39.152014563,-123.690099,ELK,CA,-123.690099,39.1520145630001
27952,95436,38.491453174,-122.908087,FORESTVILLE,CA,-122.908087,38.4914531740001
27953,95437,39.437937043,-123.790776,FORT BRAGG,CA,-123.790776,39.437937043
27954,95439,38.488248016,-122.7773177,FULTON,CA,-122.7773177,38.4882480160001
27955,95441,38.707154564,-122.8944649,GEYSERVILLE,CA,-122.8944649,38.7071545640001
27956,95442,38.364624476,-122.5222335,GLEN ELLEN,CA,-122.5222335,38.3646244760001
